[yo] nDCG@10=0.517 R@100=0.9062 MRR@10=0.4737 (n=119)
[sw] nDCG@10=0.4933 R@100=0.878 MRR@10=0.5101 (n=300)
[bn] nDCG@10=0.5444 R@100=0.9337 MRR@10=0.5547 (n=300)
[hi] nDCG@10=0.4887 R@100=0.9152 MRR@10=0.4945 (n=300)
[te] nDCG@10=0.6412 R@100=0.9267 MRR@10=0.5915 (n=300)
[th] nDCG@10=0.541 R@100=0.9513 MRR@10=0.5269 (n=300)
[id] nDCG@10=0.5593 R@100=0.9245 MRR@10=0.6 (n=300)
[ko] nDCG@10=0.4051 R@100=0.8035 MRR@10=0.4427 (n=213)
[fi] nDCG@10=0.6999 R@100=0.9653 MRR@10=0.7024 (n=300)
[ar] nDCG@10=0.6238 R@100=0.9752 MRR@10=0.6059 (n=300)
[fa] nDCG@10=0.5056 R@100=0.9106 MRR@10=0.4874 (n=300)
[zh] nDCG@10=0.1922 R@100=0.3776 MRR@10=0.2076 (n=300)
[ja] nDCG@10=0.4657 R@100=0.8516 MRR@10=0.4473 (n=300)
[ru] nDCG@10=0.5189 R@100=0.8871 MRR@10=0.5535 (n=300)
[es] nDCG@10=0.5963 R@100=0.9226 MRR@10=0.6676 (n=300)
[en] nDCG@10=0.5904 R@100=0.9631 MRR@10=0.5693 (n=300)
[de] nDCG@10=0.4856 R@100=0.9061 MRR@10=0.4802 (n=300)
[fr] nDCG@10=0.4096 R@100=0.9133 MRR@10=0.37 (n=300)

wrote D:\Research Work2\results\EXP-004-bm25-char\metrics.json
